# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
恿,1332,0.0000027430317818411963,0.9982223197687157
褐,1331,0.000002740972448671646,0.9982250607411643
禀,1327,0.000002732735115993444,0.9982277934762803
喋,1326,0.0000027306757828238937,0.9982305241520631
怅,1325,0.000002728616449654343,0.9982332527685128
酣,1325,0.000002728616449654343,0.9982359813849625
珑,1323,0.0000027244977833152424,0.9982387058827458
逞,1322,0.0000027224384501456917,0.9982414283211959
缭,1320,0.0000027183197838065907,0.9982441466409797
疡,1317,0.0000027121417842979394,0.998246858782764
蔻,1317,0.0000027121417842979394,0.9982495709245482
颧,1316,0.000002710082451128389,0.9982522810069994
腑,1312,0.000002701845118450187,0.9982549828521178
崭,1308,0.0000026936077857719855,0.9982576764599036
泸,1308,0.0000026936077857719855,0.9982603700676894
锵,1304,0.0000026853704530937835,0.9982630554381425
谙,1302,0.000002681251786754683,0.9982657366899292
泯,1298,0.000002673014454076481,0.9982684097043834
忒,1297,0.0000026709551209069306,0.9982710806595042
熵,1297,0.0000026709551209069306,0.9982737516146251
淌,1291,0.000002658599121889628,0.9982764102137469
赡,1291,0.000002658599121889628,0.9982790688128688
杞,1291,0.000002658599121889628,0.9982817274119906
舜,1288,0.0000026524211223809763,0.998284379833113
鸯,1285,0.000002646243122872325,0.9982870260762359
鄂,1283,0.0000026421244565332245,0.9982896682006924
呱,1282,0.0000026400651233636737,0.9982923082658158
臃,1281,0.0000026380057901941235,0.998294946271606
傀,1273,0.00000262153112483772,0.9982975678027308
礁,1273,0.00000262153112483772,0.9983001893338557
龌,1273,0.00000262153112483772,0.9983028108649805
滕,1272,0.0000026194717916681696,0.9983054303367722
卯,1270,0.0000026153531253290686,0.9983080456898975
镑,1267,0.0000026091751258204173,0.9983106548650234
睑,1263,0.0000026009377931422153,0.9983132558028165
骰,1261,0.0000025968191268031143,0.9983158526219433
咄,1260,0.000002594759793633564,0.9983184473817369
渍,1259,0.0000025927004604640137,0.9983210400821974
蹋,1258,0.000002590641127294463,0.9983236307233246
皿,1256,0.0000025865224609553624,0.9983262172457856
陡,1256,0.0000025865224609553624,0.9983288037682466
酗,1254,0.0000025824037946162614,0.9983313861720412
赦,1253,0.0000025803444614467107,0.9983339665165026
瘸,1252,0.0000025782851282771604,0.9983365448016309
螳,1250,0.0000025741664619380594,0.9983391189680929
